https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
𡈁 	2-04-57 	0xF1D7 	U+21201 	第4水準 	
圕 	2-04-58 	0xF1D8 	U+5715 	第4水準 	
圣 	2-04-59 	0xF1D9 	U+5723 	第4水準 	
𡉕 	2-04-60 	0xF1DA 	U+21255 	第4水準 	
圩 	2-04-61 	0xF1DB 	U+5729 	第4水準 	
𡉻 	2-04-62 	0xF1DC 	U+2127B 	第4水準 	
坅 	2-04-63 	0xF1DD 	U+5745 	第4水準 	
坆 	2-04-64 	0xF1DE 	U+5746 	第4水準 	
坌 	2-04-65 	0xF1DF 	U+574C 	第4水準 	
坍 	2-04-66 	0xF1E0 	U+574D 	第4水準 	
𡉴 	2-04-67 	0xF1E1 	U+21274 	第4水準 	
坨 	2-04-68 	0xF1E2 	U+5768 	第4水準 	
坯 	2-04-69 	0xF1E3 	U+576F 	第4水準 	
坳 	2-04-70 	0xF1E4 	U+5773 	第4水準 	
坴 	2-04-71 	0xF1E5 	U+5774 	第4水準 	
坵 	2-04-72 	0xF1E6 	U+5775 	第4水準 	
坻 	2-04-73 	0xF1E7 	U+577B 	第4水準 	
𡋤 	2-04-74 	0xF1E8 	U+212E4 	第4水準 	
𡋗 	2-04-75 	0xF1E9 	U+212D7 	第4水準 	
垬 	2-04-76 	0xF1EA 	U+57AC 	第4水準 	
垚 	2-04-77 	0xF1EB 	U+579A 	第4水準 	
垝 	2-04-78 	0xF1EC 	U+579D 	第4水準 	
垞 	2-04-79 	0xF1ED 	U+579E 	第4水準 	
垨 	2-04-80 	0xF1EE 	U+57A8 	第4水準 	
埗 	2-04-81 	0xF1EF 	U+57D7 	第4水準 	
𡋽 	2-04-82 	0xF1F0 	U+212FD 	第4水準 	
埌 	2-04-83 	0xF1F1 	U+57CC 	第4水準 	
𡌶 	2-04-84 	0xF1F2 	U+21336 	第4水準 	
𡍄 	2-04-85 	0xF1F3 	U+21344 	第4水準 	
埞 	2-04-86 	0xF1F4 	U+57DE 	第4水準 	
埦 	2-04-87 	0xF1F5 	U+57E6 	第4水準 	
埰 	2-04-88 	0xF1F6 	U+57F0 	第4水準 	
㙊 	2-04-89 	0xF1F7 	U+364A 	第4水準 	
埸 	2-04-90 	0xF1F8 	U+57F8 	第4水準 	
埻 	2-04-91 	0xF1F9 	U+57FB 	第4水準 	
埽 	2-04-92 	0xF1FA 	U+57FD 	第4水準 	
堄 	2-04-93 	0xF1FB 	U+5804 	第4水準 	
堞 	2-04-94 	0xF1FC 	U+581E 	第4水準 	
2面5区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
堠 	2-05-01 	0xF240 	U+5820 	第4水準 	
堧 	2-05-02 	0xF241 	U+5827 	第4水準 	
